FECHA (YYMMDD);HORA (HHMM);;
190601;0100;3,97395;
190601;0200;3,68718;
190601;0300;2,46899;
190601;0400;1,47862;
190601;0500;2,04486;
190601;0600;2,91979;
190601;0700;4,55544;
190601;0800;4,66914;
190601;0900;5,52622;
190601;1000;3,86429;
190601;1100;3,01405;
190601;1200;5,18706;
190601;1300;5,03747;
190601;1400;4,85859;
190601;1500;4,21644;
190601;1600;1,39593;
190601;1700;0,816356;
190601;1800;1,12978;
190601;1900;0,943773;
190601;2000;1,05682;
190601;2100;3,02203;
190601;2200;2,49025;
190601;2300;1,69583;
190602;0000;2,39724;
190602;0100;1,59212;
190602;0200;1,69147;
190602;0300;1,26249;
190602;0400;3,43943;
190602;0500;2,24564;
190602;0600;1,75677;
190602;0700;1,10947;
190602;0800;1,39332;
190602;0900;0,882002;
190602;1000;0,808605;
190602;1100;1,37926;
190602;1200;1,49767;
190602;1300;1,64025;
190602;1400;1,81367;
190602;1500;2,20855;
190602;1600;2,33982;
190602;1700;1,85454;
190602;1800;1,67914;
190602;1900;1,31638;
190602;2000;0,686132;
190602;2100;0,778666;
190602;2200;1,29618;
190602;2300;1,47585;
190603;0000;1,65831;
190603;0100;1,75681;
190603;0200;0,923854;
190603;0300;1,00746;
190603;0400;1,59965;
190603;0500;1,71438;
190603;0600;1,42678;
190603;0700;1,15062;
190603;0800;0,839316;
190603;0900;0,66021;
190603;1000;1,68295;
190603;1100;2,02592;
190603;1200;0,403265;
190603;1300;0,4845;
190603;1400;0,172437;
190603;1500;0,494855;
190603;1600;0,25045;
190603;1700;0,136406;
190603;1800;0,365064;
190603;1900;0,114093;
190603;2000;0,547203;
190603;2100;0,660483;
190603;2200;1,60572;
190603;2300;2,14845;
190604;0000;1,50805;
190604;0100;0,849997;
190604;0200;1,01194;
190604;0300;0,0733558;
190604;0400;0,117263;
190604;0500;0,204312;
190604;0600;1,04186;
190604;0700;2,368;
190604;0800;2,43689;
190604;0900;2,2129;
190604;1000;3,04728;
190604;1100;3,01188;
190604;1200;5,30117;
190604;1300;3,8011;
190604;1400;2,66814;
190604;1500;2,5229;
190604;1600;1,89125;
190604;1700;2,2573;
190604;1800;3,4414;
190604;1900;4,31303;
190604;2000;3,05091;
190604;2100;1,61363;
190604;2200;1,73272;
190604;2300;2,40235;
190605;0000;1,48336;
190605;0100;1,4635;
190605;0200;1,89532;
190605;0300;1,88362;
190605;0400;1,46345;
190605;0500;0,728962;
190605;0600;0,429327;
190605;0700;0,695526;
190605;0800;1,04554;
190605;0900;1,03427;
190605;1000;0,938511;
190605;1100;1,83611;
190605;1200;2,72329;
190605;1300;3,3343;
190605;1400;3,9705;
190605;1500;4,56964;
190605;1600;3,53986;
190605;1700;3,6497;
190605;1800;4,27751;
190605;1900;2,3745;
190605;2000;3,07109;
190605;2100;3,70683;
190605;2200;3,19746;
190605;2300;3,42737;
190606;0000;3,19189;
190606;0100;3,08413;
190606;0200;3,45574;
190606;0300;3,49173;
190606;0400;1,52392;
190606;0500;1,97712;
190606;0600;3,1218;
190606;0700;2,74938;
190606;0800;2,37159;
190606;0900;2,51631;
190606;1000;1,95567;
190606;1100;1,15641;
190606;1200;2,02776;
190606;1300;1,8013;
190606;1400;2,21623;
190606;1500;1,35902;
190606;1600;2,28403;
190606;1700;2,03517;
190606;1800;1,15916;
190606;1900;0,853227;
190606;2000;0,862653;
190606;2100;1,12758;
190606;2200;1,26945;
190606;2300;0,893677;
190607;0000;0,801451;
190607;0100;1,1364;
190607;0200;0,762753;
190607;0300;0,80432;
190607;0400;1,03791;
190607;0500;1,02454;
190607;0600;1,47898;
190607;0700;1,44517;
190607;0800;1,51361;
190607;0900;0,797738;
190607;1000;1,1958;
190607;1100;1,12554;
190607;1200;2,30196;
190607;1300;2,97144;
190607;1400;2,71169;
190607;1500;2,10274;
190607;1600;2,01412;
190607;1700;2,09529;
190607;1800;1,19436;
190607;1900;0,437311;
190607;2000;0,83788;
190607;2100;0,829563;
190607;2200;0,232235;
190607;2300;0,61843;
190608;0000;0,468665;
190608;0100;0,26465;
190608;0200;0,584748;
190608;0300;0,797043;
190608;0400;0,57979;
190608;0500;1,15003;
190608;0600;1,60527;
190608;0700;2,01934;
190608;0800;1,80594;
190608;0900;1,9166;
190608;1000;1,92807;
190608;1100;1,60559;
190608;1200;1,41113;
190608;1300;3,06442;
190608;1400;3,51442;
190608;1500;3,96184;
190608;1600;3,10584;
190608;1700;3,63966;
190608;1800;1,72683;
190608;1900;0,636711;
190608;2000;0,532632;
190608;2100;0,411899;
190608;2200;0,319869;
190608;2300;0,922097;
190609;0000;0,134638;
190609;0100;0,0538603;
190609;0200;1,76618;
190609;0300;2,03363;
190609;0400;2,12218;
190609;0500;1,61036;
190609;0600;0,728254;
190609;0700;0,859752;
190609;0800;0,93803;
190609;0900;2,5447;
190609;1000;2,86058;
190609;1100;3,26701;
190609;1200;2,42535;
190609;1300;3,83603;
190609;1400;4,29415;
190609;1500;3,51299;
190609;1600;3,00952;
190609;1700;2,68843;
190609;1800;1,46379;
190609;1900;1,28571;
190609;2000;0,886288;
190609;2100;0,323236;
190609;2200;0,664431;
190609;2300;0,521011;
190610;0000;0,248625;
190610;0100;0,0493369;
190610;0200;0,0679412;
190610;0300;0,119736;
190610;0400;0,0375457;
190610;0500;0,0410743;
190610;0600;0,213703;
190610;0700;0,405138;
190610;0800;0,107158;
190610;0900;0,273008;
190610;1000;0,397403;
190610;1100;0,717783;
190610;1200;0,464595;
190610;1300;1,17926;
190610;1400;1,5949;
190610;1500;2,1532;
190610;1600;2,56053;
190610;1700;1,63538;
190610;1800;0,969824;
190610;1900;0,679092;
190610;2000;0,86702;
190610;2100;0,735152;
190610;2200;0,214928;
190610;2300;0,327951;
190611;0000;0,367476;
190611;0100;0,296587;
190611;0200;0,572423;
190611;0300;0,03786;
190611;0400;0,677347;
190611;0500;0,726781;
190611;0600;0,227443;
190611;0700;0,646303;
190611;0800;0,317552;
190611;0900;0,0563217;
190611;1000;0,518555;
190611;1100;0,67192;
190611;1200;0,928176;
190611;1300;1,20499;
190611;1400;0,311683;
190611;1500;0,452804;
190611;1600;0,26542;
190611;1700;0,201088;
190611;1800;0,679392;
190611;1900;0,304476;
190611;2000;0,420724;
190611;2100;0,825285;
